Job Title,Unnamed: 1,Key Skills,Role Category,Functional Area,Industry,Role,Min Experience
 Digital Media Planner,, Media Planning| Digital Media,Advertising,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Media Planning Executive/Manager,5
 Online Bidding Executive,, pre sales| closing| software knowledge| clients| requirements| negotiating| client| online bidding| good communication| technology,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer,2
 Trainee Research/ Research Executive- Hi- Tech Operations,, Computer science| Fabrication| Quality check| Intellectual property| Electronics| Support services| Research| Management| Human resource management| Research Executive,R&D,"Engineering Design , R&D","Recruitment, Staffing",R&D Executive,0
 Technical Support,, Technical Support,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Support Engineer,0
 Software Test Engineer -hyderabad,, manual testing| test engineering| test cases| web testing| web technologies,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer,2
 Opening For Adobe Analytics Specialist,, adobe experience manager| digital| digital marketing| adobe analytics| data analytics| aem| adobe| sitecatalyst,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst,5
 Sales- Fresher-for Leading Property Consultant,, channel partners| real estate| negotiation| property| Residential Sales,Retail Sales,"Sales , Retail , Business Development","Real Estate, Property",Sales Executive/Officer,0
 Opportunity For Azure Devops Architect For Hyderabad Location,, TFS| Azure| Git| VSTS| Docker| DynaTrace| Splunk| AWS,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect,9
 BDE- PUNE,, Bde,Institutional Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer,2
 Technical Support/ Product Support,, technical support| support services| application support| communication skills| voice based process| semi voice| semi voice process,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),1
 Executive Assistant To Chairman,, secretary| executive assistant| ea,Corporate Planning/Consulting/Strategy,"Strategy , Management Consulting , Corporate Planning","Courier, Transportation, Freight , Warehousing",Corporate Planning/Strategy Manager,5
 SEO Executive,, website| web analytics| xml| link building| google analytics| case studies| seo| social media| tracking| maintaining,Admin/Maintenance/Security/Datawarehousing,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Webmaster,1
 Workflow Coordinator,, operations| workflow| tat| monitoring| mts| email,Operations,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Process Flow Analyst,2
Oracle IDAM,,Oracle IDAM|OIM|OAM,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer,0
 Looking Facebook /social Media Manager For our Digital Marketing Ageny,, digital marketing| seo| social media marketing| content marketing| email marketing| sem| google analytics| campaign management| facebook| media management,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Social Media Marketing Manager,2
 Wanted Engineering Fresher For MNC Chennai,, instrumentation engineering| electrical engineering| Engineering| fresher| Trainee| immediate| Mechanical Engineering| electronics engineering| undergraduate,,Other,Other,Other,0
 Tooling &amp; Sampling,, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Engineering Design,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Senior Design Engineer,2
 Account Manager,, Report Generation| Policies| analytical| procedures| Analysts| Data Entry| analytical skills,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Manager,3
 Magento Developer,, Copyright| Email| jQuery| XML| Javascript| CakePHP| Customer service| Open source| Facebook| CSS3,Programming & Design,"IT Software - eCommerce , Internet Technologies","Textiles, Garments, Accessories",Software Developer,2
 Looking For Trained Freshers in MS Dynamics CRM- Hyderabad,, C#| MS Dynamics CRM| Microsoft Dynamics| ms dynamics,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,0
 Job Openings Kotak Life/ Max Life/ Aditya Birla Health for Sales Mgr,, sales manager| business development manager| relationship manager| brokers| insurance sales| channel sales| direct sale| direct marketing| sales| Marketing Executive| Territory Sales Manager,Retail/Personal Banking,"Financial Services , Banking , Investments , Insurance",Insurance,Sales Officer,3
 Business Development / Corporate Sales,, lead generation| business development| corporate sales,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,0
 Business Development Manager (BDM),, contract management| closing| it services| relationship building| managed services| selling| market research| business development manager| sales,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,2
 QA Executive,, QA Executive,QA/Testing/Documentation,IT Software - QA & Testing,"Pharma, Biotech, Clinical Research",Quality Assurance/Quality Control Executive,2
