Age,Gender,EducationLevel,ExperienceYears,PreviousCompanies,DistanceFromCompany,InterviewScore,SkillScore,PersonalityScore,RecruitmentStrategy,HiringDecision
26,1,2,0,3,26.783827553853655,48,78,91,1,1
39,1,4,12,3,25.8626943295439,35,68,80,2,1
34,1,2,5,2,6.407750728667837,36,27,70,3,0
26,1,3,6,5,28.774864008481572,80,78,51,1,1
45,1,2,2,5,30.195964463056768,92,16,94,3,0
38,1,1,15,2,11.349680062252908,93,66,29,2,0
43,1,2,3,3,35.019220688126104,23,22,98,1,0
23,1,1,7,5,42.38375973906359,72,0,97,2,0
27,1,4,1,5,37.993391330020174,11,34,41,1,0
43,1,2,14,1,40.45114222740671,34,63,10,2,0
22,1,1,9,3,6.955326793835813,62,57,26,2,0
41,1,3,8,2,8.027356399777146,67,94,23,2,0
40,1,2,8,1,15.32368688722918,99,58,98,2,1
31,1,1,13,3,42.82654453804518,12,66,17,2,0
49,1,2,12,4,36.216765797859026,22,36,76,1,1
21,1,2,0,4,37.93717548079651,100,28,87,3,0
47,1,3,1,2,16.313394350230737,38,88,86,2,0
20,1,1,9,3,35.80962251505449,79,99,48,2,0
31,1,2,4,5,10.643528434480714,96,60,93,2,0
45,1,4,11,5,5.635740540513495,11,92,30,1,1
44,1,2,1,2,40.59456618978646,30,90,91,2,0
36,1,3,9,5,41.5786002175774,92,32,63,2,1
46,1,2,8,4,3.865515500524341,12,47,24,2,0
50,1,3,0,1,9.72949256235932,30,2,50,1,0
29,1,3,10,4,36.37131375809662,1,86,6,1,1
47,1,1,0,1,36.58889724954747,14,84,5,2,0
47,1,2,11,5,45.917763758383266,56,22,23,2,0
34,1,2,10,1,7.205368385688869,33,20,82,1,1
49,1,2,9,2,37.05661786784118,74,42,8,3,0
49,1,1,8,5,17.419274980830266,65,84,39,2,0
31,1,2,15,3,2.23824387880756,38,40,23,2,0
39,1,2,11,1,21.394480425364,36,37,62,1,1
22,1,2,9,2,7.818516373378292,20,10,52,2,0
26,1,2,9,1,13.873948807186242,70,66,44,3,0
40,1,2,10,5,39.72097473031516,7,64,89,1,1
26,1,2,6,5,26.33428954270014,100,18,28,1,1
47,1,2,5,1,7.842258329317841,87,77,52,1,1
45,1,2,8,4,20.391713478554717,25,43,37,2,0
28,1,4,5,5,15.393983903484042,70,15,58,2,0
45,1,3,3,2,37.23481271309122,82,96,0,1,1
40,1,2,11,1,42.82077982899283,69,76,67,2,0
47,1,2,1,2,3.483074572985944,57,32,90,2,0
48,1,3,1,2,17.230458425508075,36,68,51,2,0
37,1,2,8,3,40.150011567360096,96,96,83,1,1
27,1,2,0,3,38.507661471575624,64,76,13,1,0
49,1,2,5,1,6.711856929569792,9,87,69,1,1
23,1,2,10,4,50.05907793969211,64,76,50,2,0
48,1,1,1,2,40.59678114818821,100,58,76,2,0
37,1,2,3,5,22.24767595312152,64,33,79,1,0
45,1,3,0,5,20.144157364209175,51,48,0,3,0
21,1,2,9,3,28.375894202999724,81,82,53,1,1
49,1,3,9,1,13.544515826705238,30,95,52,2,0
50,1,4,10,5,31.8356353823388,54,97,39,3,0
27,1,1,15,4,33.68933755622308,100,66,27,1,1
47,1,3,7,4,45.24039735153254,16,70,99,2,1
44,1,3,5,5,12.567882112970452,85,23,90,2,0
40,1,1,13,5,44.42785141247304,85,60,61,2,1
35,1,2,8,2,29.231992894810094,4,22,26,2,0
37,1,3,11,3,15.23001911523405,35,59,91,1,1
47,1,2,0,2,14.260426849841457,25,96,13,1,0
47,1,2,8,5,9.487960069641328,54,68,7,2,0
47,1,2,3,1,5.782034801185797,38,91,47,2,0
32,1,2,2,3,21.95680872210275,83,71,13,1,1
20,1,4,12,5,4.193988371545142,80,68,78,2,1
28,1,3,15,2,26.765259399718836,15,37,54,2,0
43,1,2,15,3,6.118354229160466,15,97,12,3,0
20,1,2,5,5,38.58853938414891,83,25,72,2,0
31,1,2,15,5,46.311675971756934,28,0,55,3,0
50,1,2,9,4,44.03339108944426,87,53,56,2,0
27,1,3,1,2,43.54759497034,96,71,96,2,1
22,1,2,3,1,2.760758676276175,78,15,7,1,0
29,1,1,8,3,27.86702484215906,21,86,94,1,1
45,1,4,14,2,36.96172095220734,90,61,53,2,1
28,1,2,14,3,14.577522758874284,12,30,13,2,0
47,1,4,3,3,16.810756128166503,32,41,58,2,0
21,1,1,9,1,15.90034285968777,77,89,79,2,1
20,1,3,2,3,32.27390302123307,23,8,5,1,0
35,1,3,7,5,8.742878703941063,66,50,54,1,1
42,1,4,0,1,11.451851869296114,93,87,43,1,1
43,1,2,8,3,48.21044191730538,47,2,15,1,0
31,1,2,1,2,13.626519481822225,11,23,44,2,0
27,1,2,3,3,23.141468519216208,27,72,63,1,1
41,1,1,12,1,43.36347049813619,43,12,58,2,0
46,1,3,7,4,11.300283927601994,92,1,92,1,1
20,1,2,0,1,18.09328843990755,16,20,89,2,0
22,1,4,4,2,50.29018297251525,39,18,21,2,0
24,1,3,6,1,42.93044437669811,48,88,96,1,1
22,1,1,3,1,1.4388605973964732,86,74,85,2,0
24,1,2,15,3,16.090468483134686,63,31,76,3,0
26,1,2,4,4,32.059316109704156,73,71,12,1,1
46,1,2,10,2,7.037331794834006,69,41,90,1,1
28,1,3,15,5,49.84827730633113,99,100,43,2,1
34,1,2,7,2,23.263701238235228,75,24,70,3,0
45,1,2,10,2,25.405877171686747,42,88,71,1,1
29,1,1,12,1,41.653139860706005,22,96,100,2,0
50,1,1,9,3,11.757781081202776,5,92,60,2,0
26,1,2,0,4,32.37339493830364,64,69,80,1,1
36,1,2,10,2,47.18324187748264,5,16,39,1,0
23,1,2,13,3,12.779411412233877,87,93,0,3,0
32,1,3,5,1,48.727692120875,50,81,32,3,0
32,1,2,14,2,12.950726733297168,64,7,78,1,1
26,1,2,12,3,32.44364484940877,59,80,94,1,1
32,1,3,6,3,30.652809498367883,11,85,28,1,1
44,1,2,10,1,7.66722336581852,38,95,59,1,1
40,1,1,13,4,13.127213829148536,70,87,21,2,0
47,1,2,2,2,47.2154783526279,35,36,80,1,0
47,1,3,13,4,12.519331969294472,51,95,84,2,1
31,1,2,9,4,15.462195140983408,30,70,50,2,0
31,1,1,0,5,19.467706504471614,32,32,49,2,0
39,1,1,8,4,34.18713693126935,12,30,10,3,0
49,1,1,12,2,6.911919623607026,17,54,55,1,1
30,1,2,10,3,44.27856100473822,57,10,41,2,0
45,1,2,8,3,29.860803650447508,55,87,38,2,0
42,1,2,6,3,34.701893371247834,23,71,68,3,0
44,1,1,11,4,17.947238767422434,30,56,56,2,0
49,1,3,0,3,4.874148689619295,9,59,81,2,0
44,1,3,8,1,13.820651384947093,14,18,14,3,0
46,1,2,1,4,47.69889870722596,2,83,68,2,0
44,1,2,10,5,40.86971789538893,30,13,50,2,0
25,1,3,10,5,24.34390495615522,14,61,70,2,1
28,1,4,9,4,36.868137651818344,37,91,72,1,1
24,1,3,3,5,47.94384875711365,56,79,3,2,0
20,1,3,1,5,15.747291202117102,49,58,20,2,0
38,1,2,11,5,24.77318030845602,70,51,30,1,1
34,1,3,11,3,50.84045903405544,87,21,34,2,0
41,1,3,1,2,6.557543989165592,83,8,42,1,1
28,1,4,5,5,37.343845306988584,42,26,36,2,0
36,1,3,8,4,4.110254576284549,93,7,91,2,1
45,1,2,12,1,42.13514608586032,41,79,60,2,0
49,1,1,15,2,26.137509580480614,64,0,52,2,0
26,1,2,6,5,42.97266171047754,33,75,83,2,0
21,1,2,12,4,33.54166107807425,0,5,33,1,0
36,1,4,5,3,9.783604997795535,1,54,96,1,1
36,1,4,3,5,36.76905085893276,19,58,19,1,1
36,1,2,14,5,11.070315460667612,86,17,29,2,0
46,1,2,0,4,1.4771676533613325,20,48,87,2,0
36,1,2,6,4,4.765071679923487,87,81,6,1,1
21,1,3,2,4,19.79262325909896,67,64,35,2,0
21,1,1,13,4,42.02723238729936,11,82,37,2,0
41,1,1,1,3,23.836529644292018,19,60,51,1,0
42,1,2,8,3,17.461530767069725,81,7,14,1,1
24,1,3,0,4,3.624085504986379,0,2,45,1,0
20,1,2,5,4,13.737435366835944,96,68,11,2,0
49,1,2,15,4,36.28076523921465,13,39,43,2,0
21,1,1,12,2,27.07754919554835,35,82,14,3,0
31,1,2,0,5,49.07072702118195,74,49,48,2,0
42,1,2,4,5,4.960657500418541,94,17,13,3,0
42,1,2,6,4,1.9724025184040583,76,15,79,1,1
30,1,1,2,5,10.439701388672225,79,79,14,2,0
25,1,2,2,1,29.096762675983168,25,52,92,2,0
43,1,2,3,2,6.596728906739462,65,62,52,1,0
39,1,1,0,3,29.421597716525167,37,31,62,3,0
21,1,1,3,2,40.59965167028548,64,37,72,3,0
25,1,2,11,3,50.3343805808512,74,21,52,2,0
41,1,1,11,1,13.543673585805523,50,15,56,1,0
35,1,2,9,3,40.25949422114206,28,15,6,3,0
47,1,2,12,4,47.5499309856292,53,63,4,2,0
46,1,2,14,2,3.525369619140327,38,90,74,1,1
25,1,1,9,2,28.365237205734218,41,88,91,2,0
48,1,2,7,4,14.13604717806514,28,71,40,2,0
22,1,2,8,1,24.612424947257928,42,55,93,1,1
47,1,2,6,3,48.60719585381757,9,11,1,3,0
46,1,2,13,1,42.18227973765454,58,40,66,3,0
22,1,3,4,2,20.613352076177353,41,85,81,3,0
50,1,2,3,2,23.377592755303095,93,49,68,2,0
38,1,1,13,4,37.500086054043074,31,55,8,2,0
39,1,3,9,3,4.716730444303574,31,49,25,3,0
28,1,2,9,4,6.768140065285193,25,28,81,3,0
27,1,1,4,2,13.935547370781723,29,16,94,2,0
30,1,2,8,4,40.70911726585918,51,97,16,1,1
47,1,1,5,4,32.26080625157191,90,45,62,1,1
44,1,2,2,3,47.8819889978951,8,66,54,2,0
49,1,1,8,3,40.4100464933353,72,93,46,2,0
26,1,2,9,4,35.41692057732824,82,26,27,2,0
35,1,2,0,2,11.657105965696834,39,9,3,2,0
45,1,1,11,3,44.35886772256761,44,88,87,2,0
35,1,2,6,1,48.79215735875819,67,76,30,2,0
44,1,3,15,2,12.835765292243488,8,15,44,2,0
39,1,3,2,1,45.13077287586229,21,40,58,2,0
47,1,3,13,2,5.84893812580477,17,97,44,1,1
36,1,2,8,4,3.785341805762259,75,54,74,3,1
21,1,1,14,4,7.461190005137468,42,100,36,1,1
24,1,3,4,4,6.187817176792819,47,99,2,1,1
46,1,2,12,1,5.527973380046024,79,72,52,1,1
22,1,3,14,5,41.85955253633205,36,49,29,1,1
35,1,3,6,1,45.78631777575573,36,42,71,2,0
35,1,1,12,4,2.4472158371683532,80,76,88,1,1
41,1,3,4,1,26.69332628566358,61,80,55,2,0
20,1,2,4,2,17.89907752349181,60,3,19,3,0
43,1,2,5,1,36.27450123365583,32,76,46,2,0
