Unnamed: 0,Age,Gender,EducationLevel,ExperienceYears,PreviousCompanies,DistanceFromCompany,InterviewScore,SkillScore,PersonalityScore,RecruitmentStrategy,HiringDecision,Gender_encoded,RecruitmentStrategy_encoded,EducationLevel_encoded
2,48,Female,Bachelor,3,2,9.920804828174788,20,67,13,Online,0,0,1,1
4,30,Female,High School,6,1,43.10534312417558,23,52,85,Online,0,0,1,0
5,27,Female,Master,14,4,31.706658809375902,54,50,50,Referral,1,0,2,2
6,48,Female,Bachelor,6,1,17.291229200972435,24,52,64,Agency,0,0,0,1
7,40,Female,PhD,13,3,10.586810869513323,6,3,92,Agency,0,0,0,3
11,42,Female,Master,5,5,43.5702873945737,70,73,56,Online,0,0,1,2
12,30,Female,Master,12,5,5.2132183077925545,96,46,78,Agency,1,0,0,2
13,30,Female,High School,7,5,18.804654258321083,70,55,81,Online,0,0,1,0
15,40,Female,Master,12,5,14.706018190960034,10,17,29,Online,0,0,1,2
22,21,Female,Bachelor,7,4,26.903858259878053,91,0,38,Agency,0,0,0,1
23,43,Female,High School,9,3,38.40080383497012,56,2,71,Online,0,0,1,0
26,25,Female,Bachelor,9,4,47.42984407653192,82,82,44,Online,0,0,1,1
29,40,Female,Bachelor,5,5,14.25406421692863,87,32,11,Online,0,0,1,1
33,41,Female,Master,13,4,27.61114374280969,33,89,91,Agency,1,0,0,2
34,48,Female,Bachelor,8,2,42.082078488947765,70,3,21,Referral,0,0,2,1
35,31,Female,Bachelor,4,1,6.068992123493176,74,13,43,Online,0,0,1,1
38,46,Female,Master,3,2,25.113700004077177,61,21,76,Referral,1,0,2,2
44,35,Female,High School,6,1,30.134307327729143,74,67,18,Referral,1,0,2,0
46,49,Female,Master,2,1,7.070745275248607,67,100,99,Agency,0,0,0,2
48,34,Female,Bachelor,1,2,10.189233255395058,28,94,35,Referral,0,0,2,1
50,38,Female,Bachelor,2,1,25.36060034609569,15,25,92,Online,0,0,1,1
52,42,Female,Bachelor,1,5,13.440951350996594,76,98,47,Agency,0,0,0,1
54,44,Female,Bachelor,7,1,14.981815924660312,80,87,68,Online,1,0,1,1
56,24,Female,High School,5,5,37.40061288980987,43,28,53,Online,0,0,1,0
57,38,Female,High School,5,1,41.65738275839925,18,59,41,Online,0,0,1,0
60,28,Female,Bachelor,6,3,20.27767822006569,76,60,13,Referral,1,0,2,1
62,37,Female,Bachelor,10,5,43.80005374465764,65,45,5,Agency,0,0,0,1
63,23,Female,Master,12,3,38.4976840901204,40,48,6,Online,0,0,1,2
64,44,Female,High School,14,5,41.25584256580888,74,21,36,Online,0,0,1,0
66,33,Female,Master,3,5,4.485971291686473,69,56,17,Agency,0,0,0,2
67,37,Female,Bachelor,10,3,45.67023645439935,60,13,86,Agency,0,0,0,1
72,21,Female,Bachelor,2,1,44.12448109491505,28,11,43,Online,0,0,1,1
73,39,Female,Bachelor,3,2,16.799857056261366,65,54,46,Referral,0,0,2,1
74,47,Female,Bachelor,2,2,43.6106195600837,18,50,34,Online,0,0,1,1
75,34,Female,Bachelor,14,5,3.046697218717269,67,38,86,Referral,1,0,2,1
77,26,Female,Bachelor,13,4,32.17595975870772,69,32,59,Online,0,0,1,1
78,31,Female,Bachelor,4,3,4.155318455777312,56,28,89,Referral,0,0,2,1
80,27,Female,Bachelor,5,2,34.6377993123462,60,69,7,Online,0,0,1,1
81,34,Female,High School,2,4,17.863344802711318,91,30,79,Referral,1,0,2,0
82,22,Female,Bachelor,5,1,9.979989072004797,29,79,40,Agency,0,0,0,1
83,33,Female,Bachelor,14,1,15.067531092692082,70,30,2,Referral,0,0,2,1
84,36,Female,Bachelor,10,5,23.878766612521588,72,88,95,Online,1,0,1,1
85,23,Female,Bachelor,9,4,24.76929276777412,24,45,68,Referral,1,0,2,1
88,23,Female,High School,15,4,23.84089022780676,5,51,95,Referral,1,0,2,0
89,21,Female,High School,15,3,43.28336745493857,17,9,25,Online,0,0,1,0
91,25,Female,Bachelor,8,3,13.767667511445074,91,73,57,Online,0,0,1,1
92,41,Female,PhD,10,3,42.398823175112575,10,40,99,Referral,1,0,2,3
93,29,Female,Bachelor,3,4,19.899701931307657,96,94,39,Referral,1,0,2,1
95,41,Female,Bachelor,11,3,24.31266407639177,76,2,4,Agency,0,0,0,1
97,50,Female,PhD,12,4,21.1153520691186,83,51,31,Online,1,0,1,3
100,31,Female,High School,2,1,36.953781025540586,66,27,76,Referral,0,0,2,0
102,29,Female,Bachelor,8,2,48.188905568418456,77,86,10,Online,0,0,1,1
104,23,Female,High School,4,3,6.028136604172218,90,12,7,Agency,0,0,0,0
105,33,Female,Bachelor,14,4,20.66307425496076,16,96,24,Referral,1,0,2,1
107,35,Female,Bachelor,5,2,44.03994684577475,92,96,31,Online,0,0,1,1
108,34,Female,Bachelor,2,5,18.309844334016383,35,68,87,Online,0,0,1,1
110,33,Female,PhD,4,3,18.50993405116096,25,60,77,Referral,1,0,2,3
111,42,Female,High School,10,4,31.860979149722905,52,59,2,Agency,0,0,0,0
114,49,Female,Bachelor,3,2,21.21208210535196,24,62,83,Agency,0,0,0,1
115,27,Female,Bachelor,1,4,50.66325982148733,1,85,78,Referral,1,0,2,1
118,32,Female,Master,12,3,26.83137959271377,3,29,44,Referral,1,0,2,2
120,34,Female,Bachelor,0,1,26.86047138467647,5,17,24,Online,0,0,1,1
121,40,Female,Bachelor,0,5,43.40907491399736,20,95,60,Online,0,0,1,1
122,43,Female,High School,12,2,35.25872566388903,76,55,43,Online,0,0,1,0
123,45,Female,High School,3,4,15.502201408899328,100,52,96,Referral,1,0,2,0
124,44,Female,High School,6,3,11.073196052676646,88,6,45,Agency,0,0,0,0
129,28,Female,Bachelor,0,2,6.664980219913385,32,78,64,Referral,1,0,2,1
130,48,Female,Bachelor,9,2,9.595627886355215,13,51,79,Online,0,0,1,1
131,34,Female,Master,3,2,28.366234216974306,55,3,81,Agency,0,0,0,2
132,32,Female,Bachelor,8,5,9.229963684978737,99,33,6,Referral,1,0,2,1
134,44,Female,Master,13,5,16.86944250139426,20,32,87,Online,0,0,1,2
135,26,Female,High School,9,4,12.015954931098376,45,68,48,Referral,1,0,2,0
140,27,Female,Bachelor,5,2,38.17175869780972,91,3,55,Referral,0,0,2,1
141,43,Female,Bachelor,0,5,27.641351870069716,7,38,14,Online,0,0,1,1
143,30,Female,Bachelor,1,4,35.74591898907538,2,89,57,Online,0,0,1,1
144,38,Female,Bachelor,10,5,1.527556122509493,88,32,34,Online,0,0,1,1
145,36,Female,Bachelor,5,2,20.70450763872516,18,32,87,Referral,0,0,2,1
147,22,Female,High School,2,2,18.292942898763464,65,19,15,Online,0,0,1,0
149,20,Female,Master,10,5,38.308981927613615,85,20,92,Agency,1,0,0,2
150,46,Female,Bachelor,4,2,41.10191351414343,73,44,86,Online,0,0,1,1
151,24,Female,High School,14,4,9.029684752165428,81,89,44,Online,0,0,1,0
153,26,Female,Bachelor,11,3,10.597771949786289,45,81,39,Referral,1,0,2,1
157,26,Female,Bachelor,12,1,43.248542682005066,4,11,93,Online,0,0,1,1
158,28,Female,Bachelor,10,4,24.816117610345216,89,64,52,Referral,1,0,2,1
159,27,Female,Bachelor,8,4,34.48772256091239,76,72,26,Online,0,0,1,1
160,31,Female,Bachelor,10,1,21.11865253612338,26,2,46,Online,0,0,1,1
