Unnamed: 0,Age,Gender,EducationLevel,ExperienceYears,PreviousCompanies,DistanceFromCompany,InterviewScore,SkillScore,PersonalityScore,RecruitmentStrategy,HiringDecision,Gender_encoded,RecruitmentStrategy_encoded,EducationLevel_encoded
5,27,Female,Master,14,4,31.706658809375902,54,50,50,Referral,1,0,2,2
34,48,Female,Bachelor,8,2,42.082078488947765,70,3,21,Referral,0,0,2,1
38,46,Female,Master,3,2,25.113700004077177,61,21,76,Referral,1,0,2,2
44,35,Female,High School,6,1,30.134307327729143,74,67,18,Referral,1,0,2,0
48,34,Female,Bachelor,1,2,10.189233255395058,28,94,35,Referral,0,0,2,1
60,28,Female,Bachelor,6,3,20.27767822006569,76,60,13,Referral,1,0,2,1
73,39,Female,Bachelor,3,2,16.799857056261366,65,54,46,Referral,0,0,2,1
75,34,Female,Bachelor,14,5,3.046697218717269,67,38,86,Referral,1,0,2,1
78,31,Female,Bachelor,4,3,4.155318455777312,56,28,89,Referral,0,0,2,1
81,34,Female,High School,2,4,17.863344802711318,91,30,79,Referral,1,0,2,0
83,33,Female,Bachelor,14,1,15.067531092692082,70,30,2,Referral,0,0,2,1
85,23,Female,Bachelor,9,4,24.76929276777412,24,45,68,Referral,1,0,2,1
88,23,Female,High School,15,4,23.84089022780676,5,51,95,Referral,1,0,2,0
92,41,Female,PhD,10,3,42.398823175112575,10,40,99,Referral,1,0,2,3
93,29,Female,Bachelor,3,4,19.899701931307657,96,94,39,Referral,1,0,2,1
100,31,Female,High School,2,1,36.953781025540586,66,27,76,Referral,0,0,2,0
105,33,Female,Bachelor,14,4,20.66307425496076,16,96,24,Referral,1,0,2,1
110,33,Female,PhD,4,3,18.50993405116096,25,60,77,Referral,1,0,2,3
115,27,Female,Bachelor,1,4,50.66325982148733,1,85,78,Referral,1,0,2,1
118,32,Female,Master,12,3,26.83137959271377,3,29,44,Referral,1,0,2,2
123,45,Female,High School,3,4,15.502201408899328,100,52,96,Referral,1,0,2,0
129,28,Female,Bachelor,0,2,6.664980219913385,32,78,64,Referral,1,0,2,1
132,32,Female,Bachelor,8,5,9.229963684978737,99,33,6,Referral,1,0,2,1
135,26,Female,High School,9,4,12.015954931098376,45,68,48,Referral,1,0,2,0
140,27,Female,Bachelor,5,2,38.17175869780972,91,3,55,Referral,0,0,2,1
145,36,Female,Bachelor,5,2,20.70450763872516,18,32,87,Referral,0,0,2,1
153,26,Female,Bachelor,11,3,10.597771949786289,45,81,39,Referral,1,0,2,1
158,28,Female,Bachelor,10,4,24.816117610345216,89,64,52,Referral,1,0,2,1
166,49,Female,Master,10,4,35.789748347037275,98,77,17,Referral,1,0,2,2
178,34,Female,Bachelor,14,3,41.42852670736952,84,46,46,Referral,1,0,2,1
181,20,Female,High School,14,2,20.106645441299392,83,32,44,Referral,1,0,2,0
186,33,Female,High School,13,1,32.72782338707624,73,83,35,Referral,1,0,2,0
190,34,Female,Bachelor,1,1,10.346571472072348,87,8,100,Referral,1,0,2,1
195,32,Female,Master,2,1,22.432213960426587,57,18,75,Referral,1,0,2,2
196,38,Female,Bachelor,13,1,32.425108511810194,36,19,35,Referral,0,0,2,1
200,39,Female,Bachelor,15,2,50.87590655863375,49,88,92,Referral,1,0,2,1
204,24,Female,High School,6,5,20.956305022248305,78,2,67,Referral,1,0,2,0
208,34,Female,Master,14,2,46.92608013852589,87,25,6,Referral,1,0,2,2
214,46,Female,High School,7,3,33.01903733221205,45,94,53,Referral,1,0,2,0
215,38,Female,Bachelor,13,1,43.525211416429855,35,36,79,Referral,1,0,2,1
219,29,Female,Bachelor,0,5,14.699439077150904,10,3,5,Referral,0,0,2,1
221,49,Female,Bachelor,7,2,25.46136273749596,41,89,16,Referral,1,0,2,1
224,25,Female,Bachelor,7,3,15.5846725360793,10,98,23,Referral,1,0,2,1
235,47,Female,Bachelor,0,4,1.8330235622107995,72,31,47,Referral,0,0,2,1
237,26,Female,High School,11,5,40.7830115330721,54,37,20,Referral,0,0,2,0
243,49,Female,Master,7,5,7.5529315402145185,42,55,76,Referral,1,0,2,2
246,32,Female,High School,1,4,38.5165387909978,66,9,61,Referral,0,0,2,0
252,46,Female,Bachelor,5,5,27.807769312636804,9,90,7,Referral,0,0,2,1
258,29,Female,Bachelor,10,3,38.84638296707208,14,96,20,Referral,1,0,2,1
259,31,Female,Bachelor,4,4,35.45605452478791,17,18,24,Referral,0,0,2,1
264,43,Female,High School,14,5,2.520794040398399,97,72,40,Referral,1,0,2,0
266,39,Female,Bachelor,15,3,44.70068356543578,25,16,56,Referral,0,0,2,1
272,31,Female,High School,5,2,21.084844637988823,10,32,67,Referral,0,0,2,0
278,24,Female,PhD,7,2,26.659494585491487,84,4,23,Referral,1,0,2,3
297,45,Female,High School,9,4,32.79553828548692,23,94,20,Referral,1,0,2,0
298,25,Female,PhD,11,3,39.29342128312658,59,32,14,Referral,1,0,2,3
315,50,Female,Bachelor,7,5,46.44327031595018,42,28,42,Referral,0,0,2,1
323,35,Female,PhD,3,2,45.52204740005429,27,12,79,Referral,1,0,2,3
340,27,Female,Master,15,4,24.611321287810217,55,90,2,Referral,1,0,2,2
356,47,Female,Master,6,3,38.43492392195776,99,53,2,Referral,1,0,2,2
368,31,Female,Master,14,2,14.583209568182774,82,86,64,Referral,1,0,2,2
370,24,Female,Bachelor,6,2,15.771101815688247,6,48,25,Referral,0,0,2,1
380,39,Female,Master,6,3,2.619456888799753,89,58,21,Referral,1,0,2,2
381,43,Female,Bachelor,7,3,17.792174351965798,85,64,14,Referral,1,0,2,1
391,25,Female,High School,0,1,10.10315644409277,73,68,57,Referral,1,0,2,0
396,35,Female,High School,15,4,33.717322982642884,76,5,11,Referral,1,0,2,0
398,44,Female,Bachelor,2,1,13.207378025345362,76,18,26,Referral,0,0,2,1
401,48,Female,Bachelor,9,4,33.99967250676586,65,65,45,Referral,1,0,2,1
404,37,Female,Bachelor,2,1,14.124250395029552,57,36,91,Referral,0,0,2,1
405,21,Female,Master,3,2,30.060773874469163,82,78,56,Referral,1,0,2,2
411,23,Female,Bachelor,13,5,35.506155884100394,41,42,95,Referral,1,0,2,1
436,32,Female,Master,9,5,43.497324797259424,59,39,72,Referral,1,0,2,2
438,41,Female,PhD,12,4,25.80213630082915,36,28,97,Referral,1,0,2,3
441,46,Female,PhD,2,5,50.32437007858648,40,94,70,Referral,1,0,2,3
447,34,Female,PhD,15,5,16.483443520064625,35,96,43,Referral,1,0,2,3
452,35,Female,Bachelor,4,3,25.17749253951845,47,96,33,Referral,0,0,2,1
457,36,Female,Master,15,4,36.76820576144448,79,100,15,Referral,1,0,2,2
458,31,Female,Bachelor,7,3,14.557112669029404,85,77,9,Referral,1,0,2,1
465,22,Female,Bachelor,0,5,44.57929414312033,81,53,52,Referral,1,0,2,1
468,24,Female,PhD,9,5,16.164146970226355,81,82,9,Referral,1,0,2,3
470,48,Female,High School,6,4,18.93306815132296,38,94,37,Referral,1,0,2,0
473,40,Female,High School,0,1,5.574375919372936,14,76,86,Referral,1,0,2,0
479,50,Female,Bachelor,12,2,32.781599932002,86,94,25,Referral,1,0,2,1
487,29,Female,Bachelor,11,1,44.1105711660969,83,76,54,Referral,1,0,2,1
489,41,Female,Master,8,5,50.19531819485818,76,49,30,Referral,1,0,2,2
490,45,Female,High School,5,4,46.4871843356342,0,18,73,Referral,0,0,2,0
494,43,Female,High School,7,3,29.44915971520614,27,21,27,Referral,0,0,2,0
511,35,Female,Master,1,5,47.48248038506642,9,8,21,Referral,0,0,2,2
516,45,Female,PhD,10,4,28.69897436100403,49,69,96,Referral,1,0,2,3
527,32,Female,Bachelor,15,5,25.977416760233563,36,55,89,Referral,1,0,2,1
529,20,Female,High School,5,1,14.277879900620682,3,94,70,Referral,1,0,2,0
548,49,Female,High School,3,3,22.78360330611452,31,60,39,Referral,0,0,2,0
549,48,Female,Bachelor,15,4,7.454309757123089,15,45,100,Referral,1,0,2,1
554,36,Female,Bachelor,2,4,11.993097818448843,49,69,98,Referral,1,0,2,1
555,39,Female,High School,2,2,23.24196796702648,12,81,18,Referral,0,0,2,0
570,26,Female,Bachelor,14,1,31.144644130271764,81,56,75,Referral,1,0,2,1
578,42,Female,High School,15,3,5.588880323558792,30,64,10,Referral,1,0,2,0
591,38,Female,PhD,7,5,42.25176595714,62,9,1,Referral,1,0,2,3
596,24,Female,PhD,15,3,14.7585056244034,24,24,91,Referral,1,0,2,3
621,26,Female,Bachelor,6,4,7.861357330843553,76,54,73,Referral,1,0,2,1
622,50,Female,Master,14,3,47.8830730308296,30,56,66,Referral,1,0,2,2
625,48,Female,Bachelor,15,1,34.583011549894934,53,15,24,Referral,0,0,2,1
660,29,Female,Bachelor,1,5,15.189897152077457,48,38,13,Referral,0,0,2,1
666,50,Female,High School,13,4,26.641768121757103,81,34,52,Referral,1,0,2,0
670,45,Female,Bachelor,13,5,17.116241223471246,18,67,7,Referral,1,0,2,1
689,47,Female,Bachelor,3,2,25.178729285193373,10,34,57,Referral,0,0,2,1
694,30,Female,High School,4,5,11.40530172981864,74,55,5,Referral,1,0,2,0
707,50,Female,Master,11,5,46.30687680637397,51,14,79,Referral,1,0,2,2
722,49,Female,Bachelor,11,5,24.45298721950595,57,31,92,Referral,1,0,2,1
726,26,Female,Master,15,3,29.729109877593977,76,72,87,Referral,1,0,2,2
728,45,Female,PhD,8,3,26.663025228522116,57,7,53,Referral,1,0,2,3
735,23,Female,Bachelor,12,4,5.339147703249524,72,65,60,Referral,1,0,2,1
752,26,Female,Bachelor,11,1,1.3420374074181776,95,34,12,Referral,1,0,2,1
755,49,Female,High School,14,5,12.313866707190352,2,17,93,Referral,1,0,2,0
759,42,Female,Bachelor,9,1,12.180630989633238,77,34,17,Referral,1,0,2,1
761,42,Female,Bachelor,12,4,41.85535495833806,58,34,18,Referral,0,0,2,1
766,36,Female,Bachelor,15,1,29.67159126778305,50,20,9,Referral,0,0,2,1
793,40,Female,Master,15,4,9.867568082987145,51,48,71,Referral,1,0,2,2
804,35,Female,Master,12,4,18.21540166599797,45,94,74,Referral,1,0,2,2
806,26,Female,Master,2,2,37.71750176676479,97,19,74,Referral,1,0,2,2
812,33,Female,Bachelor,2,5,5.6264277183359575,88,26,77,Referral,1,0,2,1
814,45,Female,PhD,1,1,21.946461196870946,15,96,32,Referral,1,0,2,3
825,29,Female,High School,13,3,13.185410595217132,81,76,55,Referral,1,0,2,0
831,26,Female,Master,10,4,19.040315568900127,56,23,94,Referral,1,0,2,2
845,38,Female,Bachelor,10,5,13.439853187657397,36,28,12,Referral,0,0,2,1
851,39,Female,Bachelor,6,4,14.857217593667992,1,78,29,Referral,1,0,2,1
