Unnamed: 0,Age,Gender,EducationLevel,ExperienceYears,PreviousCompanies,DistanceFromCompany,InterviewScore,SkillScore,PersonalityScore,RecruitmentStrategy,HiringDecision,Gender_encoded,RecruitmentStrategy_encoded,EducationLevel_encoded
3,34,Male,Bachelor,5,2,6.407750728667837,36,27,70,Agency,0,1,0,1
9,45,Male,Bachelor,2,5,30.195964463056768,92,16,94,Agency,0,1,0,1
27,21,Male,Bachelor,0,4,37.93717548079651,100,28,87,Agency,0,1,0,1
47,49,Male,Bachelor,9,2,37.05661786784118,74,42,8,Agency,0,1,0,1
58,26,Male,Bachelor,9,1,13.873948807186242,70,66,44,Agency,0,1,0,1
99,45,Male,Master,0,5,20.14415736420917,51,48,0,Agency,0,1,0,2
106,50,Male,PhD,10,5,31.8356353823388,54,97,39,Agency,0,1,0,3
137,43,Male,Bachelor,15,3,6.118354229160466,15,97,12,Agency,0,1,0,1
139,31,Male,Bachelor,15,5,46.31167597175693,28,0,55,Agency,0,1,0,1
182,24,Male,Bachelor,15,3,16.090468483134686,63,31,76,Agency,0,1,0,1
191,34,Male,Bachelor,7,2,23.263701238235228,75,24,70,Agency,0,1,0,1
202,23,Male,Bachelor,13,3,12.779411412233877,87,93,0,Agency,0,1,0,1
207,32,Male,Master,5,1,48.727692120875,50,81,32,Agency,0,1,0,2
229,39,Male,High School,8,4,34.18713693126935,12,30,10,Agency,0,1,0,0
234,42,Male,Bachelor,6,3,34.701893371247834,23,71,68,Agency,0,1,0,1
241,44,Male,Master,8,1,13.820651384947093,14,18,14,Agency,0,1,0,2
294,21,Male,High School,12,2,27.077549195548357,35,82,14,Agency,0,1,0,0
299,42,Male,Bachelor,4,5,4.960657500418541,94,17,13,Agency,0,1,0,1
310,39,Male,High School,0,3,29.421597716525167,37,31,62,Agency,0,1,0,0
311,21,Male,High School,3,2,40.59965167028548,64,37,72,Agency,0,1,0,0
316,35,Male,Bachelor,9,3,40.25949422114206,28,15,6,Agency,0,1,0,1
327,47,Male,Bachelor,6,3,48.60719585381757,9,11,1,Agency,0,1,0,1
328,46,Male,Bachelor,13,1,42.18227973765454,58,40,66,Agency,0,1,0,1
332,22,Male,Master,4,2,20.613352076177357,41,85,81,Agency,0,1,0,2
337,39,Male,Master,9,3,4.716730444303574,31,49,25,Agency,0,1,0,2
