Unnamed: 0,Age,Gender,EducationLevel,ExperienceYears,PreviousCompanies,DistanceFromCompany,InterviewScore,SkillScore,PersonalityScore,RecruitmentStrategy,HiringDecision,Gender_encoded,RecruitmentStrategy_encoded,EducationLevel_encoded
1,39,Male,PhD,12,3,25.8626943295439,35,68,80,Online,1,1,1,3
2,48,Female,Bachelor,3,2,9.920804828174788,20,67,13,Online,0,0,1,1
4,30,Female,High School,6,1,43.10534312417558,23,52,85,Online,0,0,1,0
10,38,Male,High School,15,2,11.349680062252908,93,66,29,Online,0,1,1,0
11,42,Female,Master,5,5,43.5702873945737,70,73,56,Online,0,0,1,2
13,30,Female,High School,7,5,18.804654258321083,70,55,81,Online,0,0,1,0
15,40,Female,Master,12,5,14.706018190960034,10,17,29,Online,0,0,1,2
16,23,Male,High School,7,5,42.38375973906359,72,0,97,Online,0,1,1,0
18,43,Male,Bachelor,14,1,40.45114222740671,34,63,10,Online,0,1,1,1
19,22,Male,High School,9,3,6.955326793835813,62,57,26,Online,0,1,1,0
20,41,Male,Master,8,2,8.027356399777146,67,94,23,Online,0,1,1,2
21,40,Male,Bachelor,8,1,15.32368688722918,99,58,98,Online,1,1,1,1
23,43,Female,High School,9,3,38.40080383497012,56,2,71,Online,0,0,1,0
24,31,Male,High School,13,3,42.82654453804518,12,66,17,Online,0,1,1,0
26,25,Female,Bachelor,9,4,47.42984407653192,82,82,44,Online,0,0,1,1
28,47,Male,Master,1,2,16.313394350230737,38,88,86,Online,0,1,1,2
29,40,Female,Bachelor,5,5,14.25406421692863,87,32,11,Online,0,0,1,1
30,20,Male,High School,9,3,35.80962251505449,79,99,48,Online,0,1,1,0
31,31,Male,Bachelor,4,5,10.643528434480714,96,60,93,Online,0,1,1,1
35,31,Female,Bachelor,4,1,6.068992123493176,74,13,43,Online,0,0,1,1
36,44,Male,Bachelor,1,2,40.59456618978646,30,90,91,Online,0,1,1,1
37,36,Male,Master,9,5,41.5786002175774,92,32,63,Online,1,1,1,2
39,46,Male,Bachelor,8,4,3.865515500524341,12,47,24,Online,0,1,1,1
42,47,Male,High School,0,1,36.58889724954747,14,84,5,Online,0,1,1,0
43,47,Male,Bachelor,11,5,45.91776375838327,56,22,23,Online,0,1,1,1
49,49,Male,High School,8,5,17.419274980830266,65,84,39,Online,0,1,1,0
50,38,Female,Bachelor,2,1,25.36060034609569,15,25,92,Online,0,0,1,1
51,31,Male,Bachelor,15,3,2.23824387880756,38,40,23,Online,0,1,1,1
54,44,Female,Bachelor,7,1,14.981815924660312,80,87,68,Online,1,0,1,1
55,22,Male,Bachelor,9,2,7.818516373378292,20,10,52,Online,0,1,1,1
56,24,Female,High School,5,5,37.40061288980987,43,28,53,Online,0,0,1,0
57,38,Female,High School,5,1,41.65738275839925,18,59,41,Online,0,0,1,0
63,23,Female,Master,12,3,38.4976840901204,40,48,6,Online,0,0,1,2
64,44,Female,High School,14,5,41.25584256580888,74,21,36,Online,0,0,1,0
68,45,Male,Bachelor,8,4,20.39171347855472,25,43,37,Online,0,1,1,1
69,28,Male,PhD,5,5,15.393983903484042,70,15,58,Online,0,1,1,3
71,40,Male,Bachelor,11,1,42.82077982899283,69,76,67,Online,0,1,1,1
72,21,Female,Bachelor,2,1,44.12448109491505,28,11,43,Online,0,0,1,1
74,47,Female,Bachelor,2,2,43.6106195600837,18,50,34,Online,0,0,1,1
76,47,Male,Bachelor,1,2,3.483074572985944,57,32,90,Online,0,1,1,1
77,26,Female,Bachelor,13,4,32.17595975870772,69,32,59,Online,0,0,1,1
79,48,Male,Master,1,2,17.230458425508075,36,68,51,Online,0,1,1,2
80,27,Female,Bachelor,5,2,34.6377993123462,60,69,7,Online,0,0,1,1
84,36,Female,Bachelor,10,5,23.878766612521588,72,88,95,Online,1,0,1,1
89,21,Female,High School,15,3,43.28336745493857,17,9,25,Online,0,0,1,0
91,25,Female,Bachelor,8,3,13.767667511445074,91,73,57,Online,0,0,1,1
94,23,Male,Bachelor,10,4,50.05907793969211,64,76,50,Online,0,1,1,1
96,48,Male,High School,1,2,40.59678114818821,100,58,76,Online,0,1,1,0
97,50,Female,PhD,12,4,21.1153520691186,83,51,31,Online,1,0,1,3
102,29,Female,Bachelor,8,2,48.188905568418456,77,86,10,Online,0,0,1,1
