,Category,keywords
0,Advocate,"[('gauhati high', 0.4734), ('assam university', 0.4752), ('high court subordinate', 0.477), ('court telangana', 0.4779), ('details ll guwahati', 0.4797), ('college guwahati', 0.4807), ('description gauhati high', 0.4833), ('court judicature madras', 0.4839), ('judicature madras india', 0.4861), ('masters law hyderabad', 0.4864), ('college guwahati university', 0.4913), ('company gauhati high', 0.4953), ('indian advocate skill', 0.4972), ('high court skill', 0.4985), ('advocate advocate gauhati', 0.5006), ('court skill details', 0.5164), ('advocate gauhati', 0.519), ('court telangana experience', 0.5317), ('statutory bodies guwahati', 0.5352), ('assam university law', 0.551)]"
1,Arts,"[('junner pune', 0.4913), ('chakan pune business', 0.4932), ('pune batches', 0.4958), ('pune days entrepreneurship', 0.4997), ('narayangaon pune batches', 0.5021), ('marketing mumbai', 0.5113), ('mumbai advice students', 0.5159), ('skills samarth college', 0.5221), ('saudagar pune', 0.5223), ('commerce marketing mumbai', 0.5242), ('details mba', 0.5257), ('development narayangaon pune', 0.5284), ('mba marketing', 0.5286), ('details mba marketing', 0.5409), ('pune negotiation skill', 0.5565), ('solutionseducation details mba', 0.5578), ('communication junner pune', 0.5645), ('pune university tech', 0.5699), ('skill chakan pune', 0.5788), ('pune business communication', 0.5801)]"
2,Automation Testing,"[('logistics program', 0.4594), ('engineer tech mahindra', 0.4595), ('smec automation india', 0.4598), ('automation testing development', 0.4614), ('automation tester responsibility', 0.4629), ('company tech mahindra', 0.4638), ('tester tech mahindra', 0.4641), ('engineer smec automation', 0.4648), ('role automation tester', 0.4684), ('team automation test', 0.47), ('automationtesting skill', 0.4721), ('air logistics program', 0.4748), ('automation company description', 0.4758), ('company smec automation', 0.4761), ('automation india', 0.4775), ('automationtesting skill details', 0.4795), ('automation india leading', 0.492), ('plc trading bt', 0.5129), ('bt british telecom', 0.5273), ('bt group plc', 0.5499)]"
3,Blockchain,"[('software skills', 0.4258), ('engineering pune', 0.4261), ('corpcloud global services', 0.4366), ('corpcloud global', 0.4385), ('developer corpcloud global', 0.44), ('developer corpcloud', 0.4417), ('company corpcloud global', 0.4436), ('blockchain engineer auxledger', 0.4457), ('class pune maharashtra', 0.4473), ('blockchain engineer', 0.4505), ('services pvt skill', 0.4508), ('software india', 0.4531), ('class pune', 0.4559), ('skill details blockchain', 0.4641), ('shivaji university blockchain', 0.4891), ('school blockchain developer', 0.4916), ('blockchain developer skill', 0.4945), ('technology class nashik', 0.497), ('computer technology nashik', 0.4995), ('technology nashik maharashtra', 0.5173)]"
4,Business Analyst,"[('stakeholders gather requirements', 0.47), ('analyzing business requirements', 0.4705), ('processes analyze requirements', 0.4708), ('commerce mumbai business', 0.4754), ('companies skill details', 0.4762), ('prepare business functional', 0.4785), ('functional requirements erp', 0.4809), ('requirements functional requirements', 0.4825), ('payments bank skill', 0.4846), ('functional requirements specification', 0.4852), ('drafting functional requirements', 0.4861), ('involved process design', 0.4873), ('specifications responsible performing', 0.4934), ('preparing business requirement', 0.4984), ('functional specifications participate', 0.5051), ('analysis business requirements', 0.5066), ('process guide stakeholders', 0.5068), ('business functional process', 0.507), ('business process guide', 0.5118), ('bank skill details', 0.5619)]"
5,Civil Engineer,"[('civil engineer location', 0.4715), ('2014 civil engineering', 0.4715), ('engineering india', 0.4752), ('jacobs engineering india', 0.4767), ('banglore civil engineer', 0.481), ('civil engineering mumbai', 0.4875), ('details civil engineering', 0.4894), ('position civil engineer', 0.4899), ('description civil engineer', 0.4906), ('civil site engineer', 0.4975), ('building project gsk', 0.4978), ('civil engineering chandrapur', 0.4983), ('engineering chennai tamil', 0.4999), ('engineer project undertaken', 0.5017), ('civil engineer utility', 0.5045), ('engineering chennai', 0.5075), ('engineer qa', 0.547), ('civil engineering chennai', 0.5642), ('qc civil engineer', 0.5813), ('engineer qa qc', 0.5845)]"
6,Data Science,"[('science python software', 0.5012), ('python course', 0.5014), ('learning analytics platform', 0.5068), ('certified data scientist', 0.5073), ('computer science', 0.5076), ('technical skills programming', 0.5077), ('academy data scientist', 0.5112), ('data programming experience', 0.5117), ('12 data science', 0.5139), ('technologies python natural', 0.5176), ('technologies python scikit', 0.5187), ('machine learning mainly', 0.5192), ('technologies python', 0.5231), ('machine learning tools', 0.5253), ('higher data science', 0.5302), ('data science consulting', 0.531), ('skills programming languages', 0.5315), ('skills python', 0.5351), ('skills programming', 0.538), ('skills python sap', 0.5499)]"
7,Database,"[('oracle linux platform', 0.5943), ('oracle server', 0.5977), ('databases oracle', 0.5977), ('oracle databases', 0.5983), ('production database oracle', 0.5987), ('oracle 10g rac', 0.6001), ('rac oracle', 0.6015), ('databases suggestion oracle', 0.605), ('oracle 11g linux', 0.6058), ('redhat linux oracle', 0.6108), ('description oracle software', 0.6121), ('oracle rh linux', 0.6135), ('implemented oracle11gr2', 0.6144), ('oracle 11gr2', 0.6165), ('oracle database expertise', 0.6185), ('managing oracle', 0.62), ('oracle11gr2 rac oracle', 0.6399), ('oracle11gr2 rac', 0.6457), ('implemented oracle11gr2 rac', 0.6528), ('rac oracle linux', 0.6563)]"
8,DevOps Engineer,"[('experience devops', 0.4328), ('cloud azure', 0.4337), ('board devops engineer', 0.4344), ('engineer devops engineer', 0.4372), ('cloud computing exprience', 0.44), ('role devops engineer', 0.4456), ('working devops team', 0.4524), ('telangana jntu devops', 0.4587), ('devops engineer team', 0.4593), ('azure amazon aws', 0.4616), ('devops skill details', 0.4617), ('engineer platform aws', 0.466), ('visa b1', 0.4692), ('aws cloud azure', 0.4763), ('devops cloud operations', 0.4767), ('cloud operations architect', 0.4802), ('required skills visa', 0.4918), ('skills visa', 0.5255), ('skills visa b1', 0.5707), ('deploys skills visa', 0.5735)]"
9,DotNet Developer,"[('net skill details', 0.4884), ('skills programming', 0.4904), ('net developer platform', 0.4927), ('net developer company', 0.4942), ('working dot net', 0.4943), ('technical skills languages', 0.5017), ('developer skill details', 0.5047), ('net web technologies', 0.5062), ('experience development asp', 0.5068), ('technical skills', 0.5113), ('web technologies asp', 0.5115), ('skills languages asp', 0.5124), ('polytechnic dot net', 0.5187), ('software skill details', 0.5207), ('skills web', 0.5214), ('development asp net', 0.5218), ('technology skill details', 0.522), ('description technical skills', 0.5256), ('developer dot net', 0.535), ('technical skills category', 0.5456)]"
