Category,top_keywords
Advocate,"[('details', np.int64(60)), ('legal', np.int64(50)), ('law', np.int64(46)), ('university', np.int64(38)), ('advocate', np.int64(34)), ('exprience', np.int64(32)), ('court', np.int64(28)), ('skill', np.int64(20)), ('district', np.int64(16)), ('mumbai', np.int64(16)), ('pune', np.int64(16)), ('cases', np.int64(14)), ('chennai', np.int64(14)), ('college', np.int64(14)), ('courts', np.int64(14)), ('criminal', np.int64(14)), ('education', np.int64(14)), ('high', np.int64(12)), ('llb', np.int64(12)), ('matters', np.int64(12)), ('monthscompany', np.int64(12)), ('paper', np.int64(12)), ('civil', np.int64(10)), ('drafting', np.int64(10)), ('india', np.int64(10)), ('practice', np.int64(10)), ('skills', np.int64(10)), ('work', np.int64(10)), ('authority', np.int64(8)), ('bachelor', np.int64(8)), ('bar', np.int64(8)), ('board', np.int64(8)), ('chandigarh', np.int64(8)), ('clients', np.int64(8)), ('family', np.int64(8)), ('litigation', np.int64(8)), ('microsoft', np.int64(8)), ('solapur', np.int64(8)), ('trials', np.int64(8)), ('working', np.int64(8)), ('bank', np.int64(6)), ('banks', np.int64(6)), ('consumer', np.int64(6)), ('corporation', np.int64(6)), ('english', np.int64(6)), ('forums', np.int64(6)), ('gauhati', np.int64(6)), ('good', np.int64(6)), ('guwahati', np.int64(6)), ('mansa', np.int64(6)), ('nadu', np.int64(6)), ('number', np.int64(6)), ('office', np.int64(6)), ('services', np.int64(6)), ('session', np.int64(6)), ('tamil', np.int64(6)), ('tax', np.int64(6)), ('telangana', np.int64(6)), ('writing', np.int64(6)), ('accounts', np.int64(4)), ('administration', np.int64(4)), ('administrative', np.int64(4)), ('advisor', np.int64(4)), ('ambedkar', np.int64(4)), ('assam', np.int64(4)), ('assistance', np.int64(4)), ('assisting', np.int64(4)), ('aug', np.int64(4)), ('bodies', np.int64(4)), ('certified', np.int64(4)), ('chinchwad', np.int64(4)), ('com', np.int64(4)), ('computer', np.int64(4)), ('conditions', np.int64(4)), ('consultancy', np.int64(4)), ('contracts', np.int64(4)), ('council', np.int64(4)), ('death', np.int64(4)), ('deed', np.int64(4)), ('disputes', np.int64(4)), ('engineer', np.int64(4)), ('environment', np.int64(4)), ('evidence', np.int64(4)), ('filing', np.int64(4)), ('forum', np.int64(4)), ('gst', np.int64(4)), ('hindi', np.int64(4)), ('hyderabad', np.int64(4)), ('income', np.int64(4)), ('injury', np.int64(4)), ('internet', np.int64(4)), ('interpersonal', np.int64(4)), ('jagiroad', np.int64(4)), ('judge', np.int64(4)), ('knowledge', np.int64(4)), ('labour', np.int64(4)), ('llm', np.int64(4)), ('local', np.int64(4)), ('management', np.int64(4)), ('masters', np.int64(4))]"
Arts,"[('arts', np.int64(144)), ('details', np.int64(108)), ('india', np.int64(78)), ('college', np.int64(72)), ('council', np.int64(66)), ('skill', np.int64(66)), ('british', np.int64(60)), ('music', np.int64(60)), ('days', np.int64(54)), ('development', np.int64(54)), ('events', np.int64(54)), ('projects', np.int64(54)), ('responsibilities', np.int64(54)), ('mumbai', np.int64(48)), ('managing', np.int64(42)), ('new', np.int64(42)), ('pune', np.int64(42)), ('state', np.int64(42)), ('team', np.int64(42)), ('university', np.int64(42)), ('board', np.int64(36)), ('lanka', np.int64(36)), ('management', np.int64(36)), ('marketing', np.int64(36)), ('media', np.int64(36)), ('nagpur', np.int64(36)), ('programme', np.int64(36)), ('programmes', np.int64(36)), ('sri', np.int64(36)), ('workshop', np.int64(36)), ('business', np.int64(30)), ('commerce', np.int64(30)), ('communication', np.int64(30)), ('international', np.int64(30)), ('production', np.int64(30)), ('science', np.int64(30)), ('total', np.int64(30)), ('building', np.int64(24)), ('developing', np.int64(24)), ('drawing', np.int64(24)), ('education', np.int64(24)), ('ensuring', np.int64(24)), ('job', np.int64(24)), ('karate', np.int64(24)), ('painting', np.int64(24)), ('partners', np.int64(24)), ('planning', np.int64(24)), ('potential', np.int64(24)), ('reporting', np.int64(24)), ('skills', np.int64(24)), ('station', np.int64(24)), ('time', np.int64(24)), ('work', np.int64(24)), ('art', np.int64(18)), ('asst', np.int64(18)), ('audience', np.int64(18)), ('budgets', np.int64(18)), ('championship', np.int64(18)), ('communications', np.int64(18)), ('contributors', np.int64(18)), ('corporate', np.int64(18)), ('cultural', np.int64(18)), ('day', np.int64(18)), ('delivery', np.int64(18)), ('editing', np.int64(18)), ('ensure', np.int64(18)), ('event', np.int64(18)), ('external', np.int64(18)), ('fine', np.int64(18)), ('government', np.int64(18)), ('head', np.int64(18)), ('interviewing', np.int64(18)), ('key', np.int64(18)), ('knowledge', np.int64(18)), ('lead', np.int64(18)), ('like', np.int64(18)), ('magazine', np.int64(18)), ('maintaining', np.int64(18)), ('manage', np.int64(18)), ('office', np.int64(18)), ('opportunities', np.int64(18)), ('partnerships', np.int64(18)), ('people', np.int64(18)), ('performance', np.int64(18)), ('producing', np.int64(18)), ('professor', np.int64(18)), ('program', np.int64(18)), ('progress', np.int64(18)), ('project', np.int64(18)), ('pvt', np.int64(18)), ('rave', np.int64(18)), ('region', np.int64(18)), ('relationships', np.int64(18)), ('responsibility', np.int64(18)), ('right', np.int64(18)), ('school', np.int64(18)), ('sector', np.int64(18)), ('specific', np.int64(18)), ('staff', np.int64(18)), ('strategic', np.int64(18))]"
Automation Testing,"[('test', np.int64(416)), ('testing', np.int64(342)), ('automation', np.int64(272)), ('qtp', np.int64(112)), ('exprience', np.int64(100)), ('project', np.int64(100)), ('using', np.int64(86)), ('details', np.int64(84)), ('good', np.int64(84)), ('integration', np.int64(80)), ('team', np.int64(80)), ('involved', np.int64(78)), ('cases', np.int64(76)), ('software', np.int64(76)), ('development', np.int64(72)), ('environment', np.int64(72)), ('selenium', np.int64(72)), ('sql', np.int64(70)), ('manual', np.int64(68)), ('regression', np.int64(66)), ('creation', np.int64(64)), ('knowledge', np.int64(64)), ('design', np.int64(60)), ('responsibilities', np.int64(60)), ('driven', np.int64(54)), ('functional', np.int64(54)), ('case', np.int64(52)), ('release', np.int64(52)), ('web', np.int64(52)), ('plan', np.int64(50)), ('bug', np.int64(48)), ('documents', np.int64(48)), ('python', np.int64(48)), ('application', np.int64(46)), ('control', np.int64(46)), ('data', np.int64(46)), ('framework', np.int64(46)), ('scripts', np.int64(46)), ('management', np.int64(44)), ('requirement', np.int64(44)), ('work', np.int64(44)), ('excellent', np.int64(42)), ('skills', np.int64(42)), ('tool', np.int64(42)), ('critical', np.int64(40)), ('dicom', np.int64(40)), ('image', np.int64(40)), ('box', np.int64(38)), ('windows', np.int64(38)), ('business', np.int64(36)), ('execution', np.int64(34)), ('role', np.int64(34)), ('scripting', np.int64(34)), ('tools', np.int64(34)), ('agile', np.int64(32)), ('bed', np.int64(32)), ('clear', np.int64(32)), ('database', np.int64(32)), ('developer', np.int64(32)), ('html', np.int64(32)), ('linux', np.int64(32)), ('pacs', np.int64(32)), ('rational', np.int64(32)), ('report', np.int64(32)), ('reports', np.int64(32)), ('robot', np.int64(32)), ('science', np.int64(32)), ('uft', np.int64(32)), ('understanding', np.int64(32)), ('black', np.int64(30)), ('develop', np.int64(30)), ('java', np.int64(30)), ('tech', np.int64(30)), ('based', np.int64(28)), ('computer', np.int64(28)), ('industrial', np.int64(28)), ('mahindra', np.int64(28)), ('planning', np.int64(28)), ('program', np.int64(28)), ('requirements', np.int64(28)), ('base', np.int64(26)), ('education', np.int64(26)), ('engineering', np.int64(26)), ('factory', np.int64(26)), ('like', np.int64(26)), ('mumbai', np.int64(26)), ('participated', np.int64(26)), ('process', np.int64(26)), ('pvt', np.int64(26)), ('quality', np.int64(26)), ('scenarios', np.int64(26)), ('skill', np.int64(26)), ('bugs', np.int64(24)), ('classic', np.int64(24)), ('college', np.int64(24)), ('designer', np.int64(24)), ('document', np.int64(24)), ('engineer', np.int64(24)), ('healthcare', np.int64(24)), ('increment', np.int64(24))]"
Blockchain,"[('blockchain', np.int64(216)), ('exprience', np.int64(192)), ('details', np.int64(120)), ('ethereum', np.int64(120)), ('technology', np.int64(112)), ('computer', np.int64(80)), ('smart', np.int64(80)), ('java', np.int64(64)), ('mysql', np.int64(64)), ('build', np.int64(56)), ('developer', np.int64(56)), ('engineering', np.int64(56)), ('management', np.int64(56)), ('project', np.int64(56)), ('web', np.int64(56)), ('worked', np.int64(56)), ('skill', np.int64(48)), ('analytics', np.int64(40)), ('based', np.int64(40)), ('bitcoin', np.int64(40)), ('contracts', np.int64(40)), ('css', np.int64(40)), ('global', np.int64(40)), ('html', np.int64(40)), ('iit', np.int64(40)), ('javascript', np.int64(40)), ('limited', np.int64(40)), ('monthscompany', np.int64(40)), ('networking', np.int64(40)), ('portal', np.int64(40)), ('product', np.int64(40)), ('services', np.int64(40)), ('skills', np.int64(40)), ('solidity', np.int64(40)), ('used', np.int64(40)), ('api', np.int64(32)), ('application', np.int64(32)), ('com', np.int64(32)), ('contract', np.int64(32)), ('crm', np.int64(32)), ('data', np.int64(32)), ('diploma', np.int64(32)), ('engineer', np.int64(32)), ('framework', np.int64(32)), ('mumbai', np.int64(32)), ('nashik', np.int64(32)), ('network', np.int64(32)), ('node', np.int64(32)), ('platform', np.int64(32)), ('private', np.int64(32)), ('school', np.int64(32)), ('technologies', np.int64(32)), ('virtual', np.int64(32)), ('wallet', np.int64(32)), ('xinfin', np.int64(32)), ('admin', np.int64(24)), ('angular', np.int64(24)), ('beginner', np.int64(24)), ('car', np.int64(24)), ('class', np.int64(24)), ('college', np.int64(24)), ('content', np.int64(24)), ('corpcloud', np.int64(24)), ('database', np.int64(24)), ('different', np.int64(24)), ('education', np.int64(24)), ('employee', np.int64(24)), ('government', np.int64(24)), ('hyperledger', np.int64(24)), ('india', np.int64(24)), ('interface', np.int64(24)), ('international', np.int64(24)), ('jdbc', np.int64(24)), ('jquery', np.int64(24)), ('languages', np.int64(24)), ('like', np.int64(24)), ('mongodb', np.int64(24)), ('multiple', np.int64(24)), ('news', np.int64(24)), ('nov', np.int64(24)), ('pvt', np.int64(24)), ('ranchi', np.int64(24)), ('real', np.int64(24)), ('research', np.int64(24)), ('science', np.int64(24)), ('server', np.int64(24)), ('software', np.int64(24)), ('solving', np.int64(24)), ('spring', np.int64(24)), ('startup', np.int64(24)), ('team', np.int64(24)), ('various', np.int64(24)), ('website', np.int64(24)), ('writing', np.int64(24)), ('accepted', np.int64(16)), ('accolite', np.int64(16)), ('apex', np.int64(16)), ('audit', np.int64(16)), ('auxledger', np.int64(16)), ('aws', np.int64(16))]"
Business Analyst,"[('business', np.int64(252)), ('test', np.int64(214)), ('management', np.int64(128)), ('testing', np.int64(128)), ('project', np.int64(124)), ('details', np.int64(122)), ('requirement', np.int64(116)), ('requirements', np.int64(116)), ('team', np.int64(114)), ('exprience', np.int64(112)), ('process', np.int64(102)), ('functional', np.int64(96)), ('analysis', np.int64(90)), ('responsibilities', np.int64(84)), ('analyst', np.int64(82)), ('user', np.int64(82)), ('various', np.int64(72)), ('report', np.int64(70)), ('client', np.int64(68)), ('pvt', np.int64(64)), ('work', np.int64(64)), ('cases', np.int64(60)), ('mumbai', np.int64(60)), ('processes', np.int64(60)), ('gathering', np.int64(58)), ('application', np.int64(56)), ('cash', np.int64(56)), ('maintain', np.int64(56)), ('automation', np.int64(54)), ('excel', np.int64(54)), ('documentation', np.int64(50)), ('case', np.int64(48)), ('credit', np.int64(48)), ('different', np.int64(48)), ('end', np.int64(48)), ('india', np.int64(48)), ('members', np.int64(48)), ('risk', np.int64(48)), ('uat', np.int64(48)), ('users', np.int64(48)), ('working', np.int64(48)), ('preparing', np.int64(44)), ('capgemini', np.int64(42)), ('change', np.int64(42)), ('data', np.int64(42)), ('office', np.int64(42)), ('platform', np.int64(42)), ('understanding', np.int64(42)), ('document', np.int64(40)), ('implementation', np.int64(40)), ('software', np.int64(40)), ('tool', np.int64(40)), ('conducting', np.int64(38)), ('creation', np.int64(38)), ('customer', np.int64(38)), ('designed', np.int64(38)), ('integration', np.int64(38)), ('mis', np.int64(38)), ('reports', np.int64(38)), ('stakeholders', np.int64(38)), ('teams', np.int64(38)), ('tracking', np.int64(38)), ('creating', np.int64(36)), ('manual', np.int64(36)), ('preparation', np.int64(36)), ('prepare', np.int64(36)), ('proposal', np.int64(36)), ('provide', np.int64(36)), ('sales', np.int64(36)), ('development', np.int64(34)), ('training', np.int64(34)), ('customers', np.int64(32)), ('execution', np.int64(32)), ('information', np.int64(32)), ('meetings', np.int64(32)), ('participate', np.int64(32)), ('skills', np.int64(32)), ('status', np.int64(32)), ('technology', np.int64(32)), ('acceptance', np.int64(30)), ('businesses', np.int64(30)), ('complete', np.int64(30)), ('coordinating', np.int64(30)), ('date', np.int64(30)), ('defect', np.int64(30)), ('helps', np.int64(30)), ('powerpoint', np.int64(30)), ('quality', np.int64(30)), ('sdlc', np.int64(30)), ('writing', np.int64(30)), ('design', np.int64(28)), ('key', np.int64(28)), ('skill', np.int64(28)), ('using', np.int64(28)), ('automated', np.int64(26)), ('based', np.int64(26)), ('engineering', np.int64(26)), ('flow', np.int64(26)), ('gap', np.int64(26)), ('issues', np.int64(26))]"
Civil Engineer,"[('project', np.int64(228)), ('civil', np.int64(160)), ('engineer', np.int64(140)), ('site', np.int64(132)), ('construction', np.int64(80)), ('details', np.int64(72)), ('india', np.int64(64)), ('inspection', np.int64(56)), ('work', np.int64(56)), ('client', np.int64(48)), ('exprience', np.int64(48)), ('engineering', np.int64(44)), ('mumbai', np.int64(44)), ('drawings', np.int64(40)), ('material', np.int64(36)), ('quality', np.int64(36)), ('autocad', np.int64(32)), ('building', np.int64(32)), ('ensure', np.int64(32)), ('including', np.int64(28)), ('job', np.int64(28)), ('materials', np.int64(28)), ('position', np.int64(28)), ('projects', np.int64(28)), ('responsibilities', np.int64(28)), ('skill', np.int64(28)), ('specifications', np.int64(28)), ('activities', np.int64(24)), ('computer', np.int64(24)), ('consultant', np.int64(24)), ('contract', np.int64(24)), ('contractor', np.int64(24)), ('documents', np.int64(24)), ('million', np.int64(24)), ('required', np.int64(24)), ('role', np.int64(24)), ('skills', np.int64(24)), ('subcontractors', np.int64(24)), ('test', np.int64(24)), ('completion', np.int64(20)), ('coordinate', np.int64(20)), ('high', np.int64(20)), ('non', np.int64(20)), ('safety', np.int64(20)), ('team', np.int64(20)), ('technical', np.int64(20)), ('university', np.int64(20)), ('villa', np.int64(20)), ('working', np.int64(20)), ('works', np.int64(20)), ('buildings', np.int64(16)), ('contractors', np.int64(16)), ('day', np.int64(16)), ('design', np.int64(16)), ('drawing', np.int64(16)), ('duties', np.int64(16)), ('govt', np.int64(16)), ('industrial', np.int64(16)), ('interior', np.int64(16)), ('lng', np.int64(16)), ('location', np.int64(16)), ('main', np.int64(16)), ('maintain', np.int64(16)), ('monthscompany', np.int64(16)), ('office', np.int64(16)), ('page', np.int64(16)), ('petronet', np.int64(16)), ('plan', np.int64(16)), ('preparation', np.int64(16)), ('progress', np.int64(16)), ('reports', np.int64(16)), ('responsibility', np.int64(16)), ('time', np.int64(16)), ('title', np.int64(16)), ('training', np.int64(16)), ('type', np.int64(16)), ('uae', np.int64(16)), ('abad', np.int64(12)), ('according', np.int64(12)), ('andheri', np.int64(12)), ('approval', np.int64(12)), ('authority', np.int64(12)), ('aviation', np.int64(12)), ('builders', np.int64(12)), ('clients', np.int64(12)), ('compliance', np.int64(12)), ('conduct', np.int64(12)), ('consultancy', np.int64(12)), ('department', np.int64(12)), ('development', np.int64(12)), ('diploma', np.int64(12)), ('drafting', np.int64(12)), ('dubai', np.int64(12)), ('education', np.int64(12)), ('execution', np.int64(12)), ('force', np.int64(12)), ('geepas', np.int64(12)), ('gsk', np.int64(12)), ('handle', np.int64(12)), ('health', np.int64(12))]"
Data Science,"[('data', np.int64(396)), ('exprience', np.int64(248)), ('learning', np.int64(204)), ('python', np.int64(176)), ('science', np.int64(168)), ('machine', np.int64(156)), ('analytics', np.int64(120)), ('details', np.int64(120)), ('using', np.int64(96)), ('like', np.int64(88)), ('analysis', np.int64(84)), ('business', np.int64(72)), ('deep', np.int64(72)), ('project', np.int64(72)), ('sql', np.int64(72)), ('sap', np.int64(68)), ('knowledge', np.int64(64)), ('text', np.int64(60)), ('platform', np.int64(56)), ('skills', np.int64(56)), ('development', np.int64(52)), ('education', np.int64(52)), ('hana', np.int64(52)), ('industry', np.int64(52)), ('information', np.int64(52)), ('nlp', np.int64(52)), ('technical', np.int64(52)), ('algorithms', np.int64(48)), ('engineering', np.int64(48)), ('involved', np.int64(48)), ('neural', np.int64(48)), ('tableau', np.int64(48)), ('developed', np.int64(44)), ('environment', np.int64(44)), ('models', np.int64(44)), ('school', np.int64(44)), ('consultant', np.int64(40)), ('database', np.int64(40)), ('develop', np.int64(40)), ('intelligence', np.int64(40)), ('key', np.int64(40)), ('monthscompany', np.int64(40)), ('programming', np.int64(40)), ('queries', np.int64(40)), ('reports', np.int64(40)), ('skill', np.int64(40)), ('user', np.int64(40)), ('various', np.int64(40)), ('institute', np.int64(36)), ('modelling', np.int64(36)), ('sentiment', np.int64(36)), ('service', np.int64(36)), ('solutions', np.int64(36)), ('technology', np.int64(36)), ('customer', np.int64(32)), ('end', np.int64(32)), ('entities', np.int64(32)), ('flow', np.int64(32)), ('role', np.int64(32)), ('time', np.int64(32)), ('tools', np.int64(32)), ('wipro', np.int64(32)), ('activities', np.int64(28)), ('based', np.int64(28)), ('classifier', np.int64(28)), ('decision', np.int64(28)), ('fraud', np.int64(28)), ('insights', np.int64(28)), ('language', np.int64(28)), ('learn', np.int64(28)), ('predictive', np.int64(28)), ('processing', np.int64(28)), ('responsibilities', np.int64(28)), ('review', np.int64(28)), ('tech', np.int64(28)), ('technologies', np.int64(28)), ('visualization', np.int64(28)), ('web', np.int64(28)), ('ability', np.int64(24)), ('aegis', np.int64(24)), ('computer', np.int64(24)), ('detection', np.int64(24)), ('different', np.int64(24)), ('involves', np.int64(24)), ('java', np.int64(24)), ('model', np.int64(24)), ('numpy', np.int64(24)), ('open', np.int64(24)), ('pandas', np.int64(24)), ('projects', np.int64(24)), ('regression', np.int64(24)), ('reporting', np.int64(24)), ('server', np.int64(24)), ('software', np.int64(24)), ('svm', np.int64(24)), ('team', np.int64(24)), ('tool', np.int64(24)), ('working', np.int64(24)), ('area', np.int64(20)), ('bot', np.int64(20))]"
Database,"[('database', np.int64(474)), ('sql', np.int64(219)), ('server', np.int64(210)), ('oracle', np.int64(195)), ('exprience', np.int64(138)), ('databases', np.int64(120)), ('using', np.int64(114)), ('backup', np.int64(108)), ('details', np.int64(105)), ('installation', np.int64(102)), ('servers', np.int64(99)), ('issues', np.int64(96)), ('data', np.int64(90)), ('management', np.int64(90)), ('administrator', np.int64(75)), ('support', np.int64(75)), ('monitoring', np.int64(72)), ('windows', np.int64(72)), ('creating', np.int64(69)), ('log', np.int64(66)), ('rman', np.int64(63)), ('linux', np.int64(60)), ('mysql', np.int64(60)), ('backups', np.int64(57)), ('managing', np.int64(54)), ('production', np.int64(54)), ('user', np.int64(54)), ('worked', np.int64(54)), ('working', np.int64(54)), ('administration', np.int64(51)), ('maintenance', np.int64(51)), ('performance', np.int64(51)), ('replication', np.int64(51)), ('responsibilities', np.int64(51)), ('team', np.int64(51)), ('users', np.int64(51)), ('recovery', np.int64(48)), ('service', np.int64(48)), ('configuration', np.int64(45)), ('environment', np.int64(45)), ('files', np.int64(45)), ('pvt', np.int64(45)), ('maintaining', np.int64(42)), ('software', np.int64(42)), ('troubleshooting', np.int64(42)), ('dba', np.int64(39)), ('application', np.int64(36)), ('client', np.int64(36)), ('india', np.int64(36)), ('jobs', np.int64(36)), ('patching', np.int64(36)), ('performed', np.int64(36)), ('requests', np.int64(36)), ('roles', np.int64(36)), ('security', np.int64(36)), ('shipping', np.int64(36)), ('skill', np.int64(36)), ('handling', np.int64(33)), ('like', np.int64(33)), ('mirroring', np.int64(33)), ('monthscompany', np.int64(33)), ('postgresql', np.int64(33)), ('project', np.int64(33)), ('restore', np.int64(33)), ('skills', np.int64(33)), ('space', np.int64(33)), ('tablespaces', np.int64(33)), ('tasks', np.int64(33)), ('technologies', np.int64(33)), ('availability', np.int64(30)), ('business', np.int64(30)), ('daily', np.int64(30)), ('migration', np.int64(30)), ('privileges', np.int64(30)), ('reports', np.int64(30)), ('university', np.int64(30)), ('various', np.int64(30)), ('activities', np.int64(27)), ('applications', np.int64(27)), ('cluster', np.int64(27)), ('creation', np.int64(27)), ('day', np.int64(27)), ('environments', np.int64(27)), ('monitor', np.int64(27)), ('new', np.int64(27)), ('systems', np.int64(27)), ('tuning', np.int64(27)), ('upgrade', np.int64(27)), ('weekly', np.int64(27)), ('asm', np.int64(24)), ('azure', np.int64(24)), ('create', np.int64(24)), ('education', np.int64(24)), ('listener', np.int64(24)), ('microsoft', np.int64(24)), ('participated', np.int64(24)), ('planning', np.int64(24)), ('plans', np.int64(24)), ('pune', np.int64(24)), ('related', np.int64(24))]"
DevOps Engineer,"[('exprience', np.int64(424)), ('project', np.int64(420)), ('shell', np.int64(257)), ('team', np.int64(215)), ('devops', np.int64(209)), ('servers', np.int64(205)), ('build', np.int64(204)), ('mysql', np.int64(191)), ('automation', np.int64(180)), ('applications', np.int64(173)), ('scripts', np.int64(171)), ('linux', np.int64(170)), ('details', np.int64(165)), ('users', np.int64(153)), ('software', np.int64(149)), ('sql', np.int64(143)), ('cloud', np.int64(142)), ('support', np.int64(138)), ('deployment', np.int64(136)), ('scripting', np.int64(136)), ('development', np.int64(130)), ('different', np.int64(124)), ('technologies', np.int64(123)), ('commerce', np.int64(122)), ('creating', np.int64(119)), ('engineer', np.int64(119)), ('pvt', np.int64(116)), ('management', np.int64(110)), ('application', np.int64(105)), ('aws', np.int64(105)), ('git', np.int64(104)), ('product', np.int64(104)), ('database', np.int64(102)), ('nendrasys', np.int64(102)), ('pune', np.int64(93)), ('tasks', np.int64(93)), ('working', np.int64(90)), ('environment', np.int64(88)), ('multiple', np.int64(88)), ('handling', np.int64(87)), ('jenkins', np.int64(87)), ('production', np.int64(87)), ('maven', np.int64(86)), ('responsibilities', np.int64(86)), ('role', np.int64(86)), ('maintaining', np.int64(85)), ('maintenance', np.int64(85)), ('testing', np.int64(83)), ('activities', np.int64(75)), ('tools', np.int64(72)), ('monitoring', np.int64(71)), ('projects', np.int64(71)), ('managing', np.int64(70)), ('platform', np.int64(70)), ('related', np.int64(69)), ('release', np.int64(69)), ('ant', np.int64(68)), ('bbl', np.int64(68)), ('code', np.int64(68)), ('configuration', np.int64(68)), ('developing', np.int64(68)), ('filenet', np.int64(68)), ('limited', np.int64(68)), ('script', np.int64(68)), ('thai', np.int64(68)), ('type', np.int64(68)), ('wrote', np.int64(68)), ('oracle', np.int64(58)), ('skills', np.int64(57)), ('core', np.int64(56)), ('documentation', np.int64(56)), ('java', np.int64(56)), ('portal', np.int64(56)), ('using', np.int64(56)), ('information', np.int64(55)), ('monthscompany', np.int64(55)), ('python', np.int64(55)), ('server', np.int64(55)), ('skill', np.int64(55)), ('teams', np.int64(55)), ('html', np.int64(54)), ('online', np.int64(54)), ('processes', np.int64(54)), ('services', np.int64(54)), ('architect', np.int64(53)), ('bitbucket', np.int64(53)), ('involved', np.int64(53)), ('reports', np.int64(53)), ('requirements', np.int64(53)), ('administration', np.int64(52)), ('implementing', np.int64(52)), ('logs', np.int64(52)), ('size', np.int64(52)), ('sure', np.int64(52)), ('access', np.int64(51)), ('branches', np.int64(51)), ('continuous', np.int64(51)), ('dev', np.int64(51)), ('fine', np.int64(51)), ('included', np.int64(51))]"
DotNet Developer,"[('net', np.int64(276)), ('exprience', np.int64(176)), ('project', np.int64(148)), ('asp', np.int64(132)), ('database', np.int64(116)), ('sql', np.int64(116)), ('server', np.int64(108)), ('application', np.int64(100)), ('details', np.int64(100)), ('developer', np.int64(100)), ('management', np.int64(96)), ('jquery', np.int64(84)), ('dot', np.int64(80)), ('javascript', np.int64(72)), ('mvc', np.int64(72)), ('role', np.int64(72)), ('development', np.int64(64)), ('environment', np.int64(64)), ('framework', np.int64(64)), ('layer', np.int64(64)), ('pune', np.int64(64)), ('web', np.int64(60)), ('worked', np.int64(60)), ('html', np.int64(56)), ('visual', np.int64(56)), ('comments', np.int64(52)), ('css', np.int64(52)), ('designing', np.int64(52)), ('end', np.int64(52)), ('like', np.int64(52)), ('studio', np.int64(52)), ('software', np.int64(48)), ('used', np.int64(44)), ('technology', np.int64(40)), ('data', np.int64(36)), ('ccu', np.int64(32)), ('client', np.int64(32)), ('cmu', np.int64(32)), ('education', np.int64(32)), ('includes', np.int64(32)), ('online', np.int64(32)), ('presentation', np.int64(32)), ('responsibilities', np.int64(32)), ('school', np.int64(32)), ('screen', np.int64(32)), ('skill', np.int64(32)), ('technologies', np.int64(32)), ('using', np.int64(32)), ('website', np.int64(32)), ('admin', np.int64(28)), ('bootstrap', np.int64(28)), ('entity', np.int64(28)), ('hospital', np.int64(28)), ('operating', np.int64(28)), ('student', np.int64(28)), ('testing', np.int64(28)), ('university', np.int64(28)), ('activities', np.int64(24)), ('business', np.int64(24)), ('disabled', np.int64(24)), ('greyed', np.int64(24)), ('institute', np.int64(24)), ('leads', np.int64(24)), ('list', np.int64(24)), ('monthscompany', np.int64(24)), ('title', np.int64(24)), ('tools', np.int64(24)), ('user', np.int64(24)), ('windows', np.int64(24)), ('access', np.int64(20)), ('ajax', np.int64(20)), ('credit', np.int64(20)), ('date', np.int64(20)), ('designed', np.int64(20)), ('documentation', np.int64(20)), ('employee', np.int64(20)), ('form', np.int64(20)), ('information', np.int64(20)), ('manage', np.int64(20)), ('module', np.int64(20)), ('provide', np.int64(20)), ('skills', np.int64(20)), ('srs', np.int64(20)), ('technical', np.int64(20)), ('test', np.int64(20)), ('update', np.int64(20)), ('vehicle', np.int64(20)), ('activity', np.int64(16)), ('applying', np.int64(16)), ('board', np.int64(16)), ('cms', np.int64(16)), ('coding', np.int64(16)), ('collections', np.int64(16)), ('computer', np.int64(16)), ('constraints', np.int64(16)), ('content', np.int64(16)), ('controller', np.int64(16)), ('create', np.int64(16)), ('customer', np.int64(16)), ('dashboard', np.int64(16))]"
